time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
66,35.40034357,1424.829329,-3,2.352942,0,0,40.58152561,-105.0850981,151022.3059,644.8254312,3.255825321,7,3,241.3405357
67,35.0660857,1503.807423,34.5,6.274512,0,0,40.58152688,-105.085283,150895.8288,660.447291,-0.381137496,7,3,225.7186759
68,34.8791529,1490.441412,33.5,6.274512,0,0,40.5815295,-105.0854665,150809.1604,675.94084,-12.61332685,7,3,210.2251269
69,34.39493324,1473.5,34,5.098041,0,0,40.58153674,-105.0856463,150891.4406,691.1522573,-10.11012051,7,3,195.0137095
70,34.27655823,1449.222095,37,11.76471,0,0,40.58155262,-105.0858246,150970.5229,706.3222557,-10.76231256,7,3,179.8437111
71,34.33542719,1510.023163,72.5,12.941181,0,0,40.58157647,-105.0860013,150958.0586,721.485847,7.340847927,7,1,164.6801199
72,34.52851212,1515.710008,71.5,15.68628,0,0,40.58160292,-105.0861763,150926.7627,736.5551251,23.56904479,7,1,149.6108418
73,34.62808365,1546.542977,107.0203118,21.176478,0,0,40.58162551,-105.0863562,150935.8216,751.9563638,16.90219905,7,1,134.2096031
74,35.85237246,1490.334373,204.2939593,22.745106,0,0,40.58163877,-105.0865395,150977.6697,767.5134276,13.25682171,7,1,118.6525393
75,36.98101439,1483.931955,193,22.745106,0,0,40.58164404,-105.0867258,151034.8866,783.2625998,4.180029026,7,1,102.9033671
76,37.79914975,1466.935137,85.90406394,15.68628,0,0,40.58164666,-105.086918,151096.0512,799.4924258,4.1875,7,1,86.67354109
77,37.95449756,1610.985832,123.2941846,19.215693,0,0,40.5816496,-105.0871137,151123.5391,816.022135,5.658069144,7,1,70.14383184
78,38.45804463,1626.832578,146.5,20.392164,0,0,40.58165308,-105.0873116,151156.9175,832.7423468,5.319984795,7,1,53.4236201
79,39.19133165,1573.157321,141.2958584,20.000007,0,0,40.58165654,-105.0875123,151222.2662,849.6971568,7.454445975,7,1,36.46881009
